compound_id,status,pdbqt_size,note
DEC_4111,skipped,0,
DEC_1334,skipped,0,
DEC_1916,filtered,0,diketo_group
DEC_1994,skipped,0,
DEC_0195,skipped,0,
DEC_1736,filtered,0,indol_3yl_alk(461)
DEC_0755,skipped,0,
DEC_4375,skipped,0,
DEC_0725,skipped,0,
DEC_3537,skipped,0,
DEC_3715,skipped,0,
DEC_0930,skipped,0,
DEC_0289,skipped,0,
DEC_0068,skipped,0,
DEC_1237,skipped,0,
DEC_1845,filtered,0,aniline
DEC_4309,skipped,0,
DEC_2697,skipped,0,
DEC_4421,skipped,0,
DEC_0970,skipped,0,
DEC_3600,skipped,0,
DEC_1367,skipped,0,
DEC_0776,skipped,0,
DEC_3385,filtered,0,Aliphatic_long_chain
DEC_0758,skipped,0,
DEC_2822,skipped,0,
DEC_2388,skipped,0,
DEC_0909,skipped,0,
DEC_2576,skipped,0,
DEC_2872,skipped,0,
DEC_4265,skipped,0,
DEC_3967,skipped,0,
DEC_0617,skipped,0,
DEC_2222,skipped,0,
DEC_4493,skipped,0,
DEC_3223,skipped,0,
DEC_3408,filtered,0,catechol_A(92)
DEC_1565,skipped,0,
DEC_4672,skipped,0,
DEC_1677,skipped,0,
DEC_2340,filtered,0,nitro_group
DEC_0980,skipped,0,
DEC_3105,filtered,0,catechol_A(92)
DEC_0184,skipped,0,
DEC_0197,skipped,0,
DEC_3981,skipped,0,
DEC_1259,skipped,0,
DEC_3732,skipped,0,
DEC_4530,skipped,0,
DEC_0222,skipped,0,
DEC_3093,skipped,0,
DEC_0238,skipped,0,
DEC_4172,skipped,0,
DEC_2359,skipped,0,
DEC_1290,skipped,0,
DEC_2269,filtered,0,iodine
DEC_1268,skipped,0,
DEC_4108,skipped,0,
DEC_4667,skipped,0,
DEC_2852,skipped,0,
DEC_3987,skipped,0,
DEC_2824,skipped,0,
DEC_0194,skipped,0,
DEC_0332,skipped,0,
DEC_1306,skipped,0,
DEC_4555,skipped,0,
DEC_4369,skipped,0,
DEC_2596,skipped,0,
DEC_2539,skipped,0,
DEC_1213,skipped,0,
DEC_1501,skipped,0,
DEC_2363,filtered,0,Sulfonic_acid_2
DEC_0446,skipped,0,
DEC_4452,skipped,0,
ACT_008,skipped,0,
DEC_0328,skipped,0,
DEC_4619,skipped,0,
DEC_2114,skipped,0,
DEC_1276,skipped,0,
DEC_4155,skipped,0,
DEC_0097,skipped,0,
DEC_4019,skipped,0,
DEC_2140,filtered,0,Aliphatic_long_chain
DEC_3201,filtered,0,Aliphatic_long_chain
DEC_0878,skipped,0,
DEC_3918,skipped,0,
DEC_2703,skipped,0,
DEC_4641,skipped,0,
DEC_3956,skipped,0,
DEC_1144,skipped,0,
DEC_4358,skipped,0,
DEC_0918,skipped,0,
DEC_0627,skipped,0,
DEC_2641,skipped,0,
DEC_4028,skipped,0,
DEC_4007,skipped,0,
DEC_0302,skipped,0,
DEC_2636,skipped,0,
DEC_0452,skipped,0,
DEC_2519,skipped,0,
DEC_3112,skipped,0,
ACT_042,skipped,0,
DEC_3351,filtered,0,aniline
DEC_2322,filtered,0,Aliphatic_long_chain
ACT_074,skipped,0,
DEC_4163,skipped,0,
DEC_4119,skipped,0,
DEC_1889,filtered,0,phthalimide
DEC_3132,filtered,0,nitro_group
DEC_0483,skipped,0,
DEC_1952,filtered,0,triple_bond
DEC_2424,filtered,0,isolated_alkene
DEC_1589,skipped,0,
DEC_2175,skipped,0,
DEC_4274,skipped,0,
DEC_2598,skipped,0,
DEC_0990,skipped,0,
ACT_062,skipped,0,
DEC_0157,skipped,0,
DEC_1223,skipped,0,
DEC_4441,skipped,0,
ACT_037,skipped,0,
DEC_4398,skipped,0,
DEC_0198,skipped,0,
DEC_3117,skipped,0,
DEC_1295,skipped,0,
DEC_3786,skipped,0,
DEC_3419,skipped,0,
DEC_3280,skipped,0,
DEC_2946,skipped,0,
DEC_0350,skipped,0,
DEC_1888,filtered,0,iodine
DEC_0496,skipped,0,
DEC_1516,skipped,0,
DEC_3995,skipped,0,
DEC_3541,skipped,0,
DEC_4222,skipped,0,
DEC_1139,skipped,0,
DEC_1674,skipped,0,
DEC_0277,skipped,0,
DEC_1009,skipped,0,
DEC_3405,filtered,0,aldehyde
DEC_3686,skipped,0,
DEC_3494,skipped,0,
DEC_3111,filtered,0,Sulfonic_acid_1
DEC_0856,skipped,0,
DEC_3330,skipped,0,
ACT_066,skipped,0,
DEC_2281,skipped,0,
DEC_3003,filtered,0,mannich_A(296)
DEC_3074,skipped,0,
DEC_3880,skipped,0,
DEC_1362,skipped,0,
DEC_0966,skipped,0,
DEC_2052,filtered,0,iodine
DEC_3291,filtered,0,N_oxide
DEC_1095,skipped,0,
DEC_1761,filtered,0,isolated_alkene
DEC_1453,skipped,0,
DEC_4540,skipped,0,
DEC_1176,skipped,0,
DEC_2411,filtered,0,imine_1
DEC_0252,skipped,0,
DEC_4113,skipped,0,
DEC_3037,filtered,0,N_oxide
DEC_0272,skipped,0,
DEC_1559,skipped,0,
ACT_098,skipped,0,
DEC_3876,skipped,0,
DEC_1230,skipped,0,
DEC_1035,skipped,0,
ACT_019,skipped,0,
DEC_2149,skipped,0,
DEC_1973,filtered,0,thioester
DEC_2299,skipped,0,
DEC_0661,skipped,0,
DEC_3402,skipped,0,
DEC_0520,skipped,0,
DEC_2440,skipped,0,
DEC_1799,skipped,0,
DEC_3020,filtered,0,Aliphatic_long_chain
DEC_3959,skipped,0,
ACT_072,skipped,0,
DEC_0863,skipped,0,
DEC_0809,skipped,0,
DEC_2247,skipped,0,
DEC_1798,filtered,0,charged_oxygen_or_sulfur_atoms
DEC_4701,skipped,0,
DEC_4256,skipped,0,
DEC_2134,skipped,0,
DEC_2071,filtered,0,cyanate_/aminonitrile_/thiocyanate
DEC_0503,skipped,0,
DEC_2954,filtered,0,isolated_alkene
ACT_097,skipped,0,
DEC_4237,skipped,0,
DEC_4689,skipped,0,
DEC_0550,skipped,0,
DEC_4193,skipped,0,
DEC_1619,skipped,0,
DEC_0971,skipped,0,
DEC_0747,skipped,0,
DEC_0502,skipped,0,
DEC_1039,skipped,0,
DEC_2635,skipped,0,
