compound_id,matched_to,chembl_id,smiles,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge,max_tc_to_actives
DEC_2940,ACT_062,CHEMBL16198,COc1cccc([C@@H]2C/C(=N\NC(=O)C(=O)NC(C)c3ccccc3)c3ccccc3N2)c1,442.5190000000001,3.9498000000000024,3,5,5,91.82,33,0,0.23232323232323232
DEC_2941,ACT_062,CHEMBL50892,COc1ccccc1CC(=O)N1C[C@H]2[C@@]3(c4ccccc4)CC[C@H](c4ccccc43)[C@@]2(C(=O)NN)C1,481.5960000000003,3.5497000000000014,2,4,5,84.66,36,0,0.23232323232323232
DEC_2942,ACT_062,CHEMBL282146,CC(C)C[C@H](CC(=O)O)C(=O)N[C@H]1Cc2cn(c3ccccc23)CCCCCCNC1=O,441.57200000000034,3.495800000000001,3,3,6,100.42999999999998,32,0,0.23333333333333334
DEC_2943,ACT_062,CHEMBL10180,Cc1ccc(C#Cc2ccc(S(=O)(=O)NC(CC#Cc3ccccc3)C(=O)O)cc2)cc1,443.52400000000017,3.568120000000002,2,3,5,83.47,32,0,0.234375
DEC_2944,ACT_062,CHEMBL443210,CCN1CCCC1CNC(=O)c1ccc(-n2ccnc2)cc1.Cc1ccc(S(=O)(=O)O)cc1,470.5950000000002,3.328120000000002,2,5,6,104.53000000000002,33,0,0.2345679012345679
DEC_2945,ACT_062,CHEMBL268887,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccc(F)cc4)c3c2F)C1,445.4410000000001,3.5420000000000025,2,4,6,74.57,32,0,0.23469387755102042
DEC_2946,ACT_062,CHEMBL280163,C[C@H](N)C(=O)N[C@@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)[C@H]1C,474.43900000000014,2.1467,3,5,5,117.66,34,0,0.23711340206185566
DEC_2947,ACT_062,CHEMBL282945,N=C(c1ccc(NC(=O)c2nnnn2-c2cc3ccccc3cc2F)c(F)c1)N1CCCC1,447.44900000000024,3.767170000000003,2,5,4,99.79,33,0,0.23711340206185566
DEC_2948,ACT_062,CHEMBL423108,N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,485.4750000000002,2.6172000000000004,2,5,6,101.73,32,0,0.23809523809523808
DEC_2949,ACT_062,CHEMBL43659,CC(C)(C)OC(=O)N[C@H]1CCN(CC(=O)NC2CCc3cc(F)ccc3C2Cc2cccnc2)C1,482.6000000000002,3.5770000000000026,2,5,6,83.56,35,0,0.23809523809523808
DEC_2950,ACT_063,CHEMBL22860,CCCc1cc(CO)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,401.47,3.1885000000000012,2,5,7,96.68999999999998,30,0,0.1875
DEC_2951,ACT_063,CHEMBL37618,O=C1N[C@H](Cc2ccccc2)[C@H](O)[C@@H](CCc2ccccc2)N1Cc1ccc2[nH]ncc2c1,440.54700000000014,4.061700000000003,3,3,7,81.25,33,0,0.19047619047619047
DEC_2952,ACT_063,CHEMBL283975,CCCCc1n[nH]c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,402.458,3.8884000000000016,3,5,8,120.44000000000001,30,0,0.1927710843373494
DEC_2953,ACT_063,CHEMBL37472,O=C1N[C@H](CCc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2[nH]ncc2c1,440.54700000000014,4.061700000000003,3,3,7,81.25,33,0,0.1935483870967742
DEC_2954,ACT_063,CHEMBL284314,C=CCN1C(=O)N(CC=C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,406.5260000000001,3.0404000000000018,2,3,8,64.01,30,0,0.19402985074626866
DEC_2955,ACT_063,CHEMBL6199,Cn1cc(C2=C(c3cn(CCCCCO)c4ccccc34)C(=O)NC2=O)c2ccccc21,427.50400000000013,3.8628000000000027,2,3,7,76.25999999999999,32,0,0.19444444444444445
DEC_2956,ACT_063,CHEMBL277270,O=C(O)[C@@H]1CC2(CN1C(=O)CP(=O)(O)CCCCc1ccccc1)SCCS2,443.5270000000002,3.1415000000000015,2,5,8,94.91000000000001,28,0,0.19753086419753085
DEC_2957,ACT_063,CHEMBL34347,O=C(NCCCOc1ccc2nc(O)ccc2c1)N(C1CC1)[C@@H]1CCC[C@@H](O)C1,399.49100000000027,3.1868000000000016,3,5,7,94.92,29,0,0.1978021978021978
